Product Name,Category,Price (£),Customer Rating,Rating Count
"SAMSUNG QE85Q60AAUXXU 85"" Smart 4K Ultra HD HDR QLED TV with Bixby, Alexa & Google Assistant",TV,1999.0,4.4,1018.0
"HISENSE 65A6GTUK 65"" Smart 4K Ultra HD HDR LED TV with Alexa & Google Assistant",TV,449.0,4.6,32.0
"LG 55NANO756PR 55"" Smart 4K Ultra HD HDR LED TV with Google Assistant & Amazon Alexa",TV,449.0,4.25,17.0
"LG 75UP75006LC 75"" Smart 4K Ultra HD HDR LED TV",TV,699.0,4.3,56.0
"JVC LT-32CF600 Fire TV Edition 32"" Smart HD Ready LED TV with Amazon Alexa",TV,199.99,3.85,277.0
"SAMSUNG QE43QN90AATXXU 43"" Smart 4K Ultra HD HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,749.0,4.55,44.0
"TOSHIBA 32LL3C63DB 32"" Smart Full HD HDR LED TV",TV,199.0,4.1,137.0
"SAMSUNG UE85AU7100KXXU 85"" Smart 4K Ultra HD HDR LED TV",TV,1499.0,4.45,1138.0
"PHILIPS 43PUS8506/12 43"" 4K Ultra HD HDR LED TV with Google Assistant",TV,399.0,4.45,32.0
"LG 32LQ630B6LA 32"" Smart HD Ready HDR LED TV",TV,199.0,,0.0
"LG OLED65A16LA 65"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,899.0,4.6,85.0
"PANASONIC TX-50JX800B 50"" Smart 4K Ultra HD HDR LED TV with Google Assistant",TV,339.0,3.9,123.0
"LG 70UP76706LB 70"" Smart 4K Ultra HD HDR LED TV",TV,649.0,4.5,31.0
"SONY BRAVIA KD43X80JU 43"" Smart 4K Ultra HD HDR LED TV with Google TV & Assistant",TV,494.0,4.35,66.0
"SAMSUNG QE75QN85AATXXU 75"" Smart 4K Ultra HD HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,1799.0,4.45,163.0
"HISENSE 55A7GQTUK 55"" Smart 4K Ultra HD HDR QLED TV with Alexa & Google Assistant",TV,499.0,4.4,292.0
"HISENSE 50A7100FTUK 50"" Smart 4K Ultra HD HDR LED TV",TV,279.0,4.35,878.0
"JVC LT-40CF700 Fire TV Edition 40"" Smart Full HD LED TV with Amazon Alexa",TV,229.99,3.7,334.0
"SAMSUNG QE50QN90AATXXU 50"" Smart 4K Ultra HD HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,799.0,4.55,166.0
"PHILIPS 50PUS9006/12 50"" Smart 4K Ultra HD HDR LED TV with Google Assistant",TV,479.0,4.5,54.0
"LG 50NANO756PR 50"" Smart 4K Ultra HD HDR LED TV with Google Assistant & Amazon Alexa",TV,399.0,4.25,144.0
"SAMSUNG QE65QN85AATXXU 65"" Smart 4K Ultra HD HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,1199.0,4.45,163.0
"TCL 50C725K 50"" Smart 4K Ultra HD HDR QLED TV with Google Assistant",TV,369.0,4.5,13.0
"PHILIPS 32PFS6905/05 32"" Smart Full HD HDR LED TV - Silver",TV,250.0,4.45,42.0
"SAMSUNG UE85AU8000KXXU 85"" Smart 4K Ultra HD HDR LED TV with Bixby, Alexa & Google Assistant",TV,1499.0,4.3,314.0
"SONY BRAVIA KD32W800PU 32"" Smart HD Ready HDR LED TV with Google Assistant",TV,319.0,4.1,156.0
"SAMSUNG QE55QN94AATXXU 55"" Smart 4K Ultra HD HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,1199.0,4.6,83.0
"SAMSUNG UE75AU7100KXXU 75"" Smart 4K Ultra HD HDR LED TV",TV,799.0,4.45,1138.0
"LOGIK L40AFE21 Android TV 40"" Smart Full HD LED TV with Google Assistant",TV,219.0,4.15,90.0
"SAMSUNG QE65Q80AATXXU 65"" Smart 4K Ultra HD HDR QLED TV with Bixby, Alexa & Google Assistant",TV,999.0,4.65,230.0
"LG 86UP80006LA 86"" Smart 4K Ultra HD HDR LED TV with Google Assistant & Amazon Alexa",TV,1299.0,4.4,12.0
"TCL 43RP620K Roku 43"" Smart 4K Ultra HD HDR LED TV",TV,249.0,4.45,514.0
"JVC LT-24C600 24"" Smart HD Ready LED TV",TV,159.99,4.4,252.0
"JVC LT-43CF700 Fire TV Edition 43"" Smart Full HD HDR LED TV with Amazon Alexa",TV,249.0,3.65,142.0
"SAMSUNG UE50AU9000KXXU 50"" Smart 4K Ultra HD HDR LED TV with Bixby, Alexa & Google Assistant",TV,429.0,4.5,116.0
"JVC LT-50CA890 Android TV 50"" Smart 4K Ultra HD HDR LED TV with Google Assistant",TV,299.99,4.0,2014.0
"LG 50NANO816PA 50"" Smart 4K Ultra HD HDR LED TV with Google Assistant & Amazon Alexa",TV,449.0,4.25,67.0
"LG 55NANO866PA 55"" Smart 4K Ultra HD HDR LED TV with Google Assistant & Amazon Alexa",TV,599.0,4.45,21.0
"PHILIPS 48OLED806/12 48"" Smart 4K Ultra HD HDR OLED TV with Google Assistant",TV,899.0,4.8,36.0
"LG OLED55C24LA 55"" Smart 4K Ultra HD HDR OLED TV with Google Assistant & Amazon Alexa",TV,1699.0,,0.0
"SAMSUNG QE75Q70AATXXU 75"" Smart 4K Ultra HD HDR QLED TV with Bixby, Alexa & Google Assistant",TV,1299.0,4.55,186.0
"SAMSUNG QE50Q80AATXXU 50"" Smart 4K Ultra HD HDR QLED TV with Bixby, Alexa & Google Assistant",TV,649.0,4.5,56.0
"JVC LT-58CA810 Android TV 58"" Smart 4K Ultra HD HDR LED TV with Google Assistant",TV,349.99,3.95,252.0
"SAMSUNG QE75QN900ATXXU 75"" Smart 8K HDR Neo QLED TV with Bixby, Alexa & Google Assistant",TV,3649.0,3.75,2.0
"LG 50NANO866PA 50"" Smart 4K Ultra HD HDR LED TV with Google Assistant & Amazon Alexa",TV,499.0,4.05,20.0
"PANASONIC TX-65JX800B 65"" Smart 4K Ultra HD HDR LED TV with Google Assistant",TV,509.0,3.9,123.0
"TCL 65C725K 65"" Smart 4K Ultra HD HDR QLED TV with Google Assistant",TV,599.0,4.5,13.0
"PHILIPS 65PUS8506/12 65"" 4K Ultra HD HDR LED TV with Google Assistant",TV,649.0,4.9,5.0
