"ASUS CX17 17.3"" Chromebook - Intel® Celeron™, 128 GB eMMC, Silver"
"DELL Inspiron 15 5518 15.6"" Laptop - Intel® Core™ i5, 256 GB SSD, Silver"
"SAMSUNG Galaxy Book Pro 15.6"" Laptop - Intel® Core™ i7, 512 GB, Mystic Silver"
"HP Pavilion 14-dv0595sa 14"" Laptop - Intel® Core™ i3, 256 GB SSD, Gold"
"SAMSUNG Galaxy Book Go 14"" Laptop - Qualcomm Snapdragon 7C, 128 GB SSD, Mystic Silver"
"LENOVO IdeaPad 3i 14"" Chromebook - Intel® Celeron®, 64 GB eMMC, Blue"
"SAMSUNG Galaxy Go 14"" Chromebook - Intel® Celeron™, 32 GB eMMC, Silver"
"ASUS VivoBook Pro M3500QA 15.6"" Laptop - AMD Ryzen 7, 512 GB SSD, Silver"
"MICROSOFT 13.5"" Surface Laptop 4 - Intel® Core™ i7, 512 GB, Ice Blue"
"HP ENVY 15-ep1503na 15.6"" Laptop - Intel® Core™ i7, 512 GB SSD, Silver"
"ACER 315 15.6"" Chromebook - Intel® Celeron®, 64 GB eMMC, Blue"
"HP x2 11-da0504na 11"" 2 in 1 Chromebook - Qualcomm Snapdragon, 128 GB eMMC, Silver"
"ACER Spin 1 14"" 2 in 1 Laptop - Intel® Pentium® Silver, 256 GB SSD, Silver"
"DELL XPS 13 13.4"" 2 in 1 Laptop - Intel® Core™ i7, 512 GB SSD, Silver"
"MICROSOFT 13.5"" Surface Laptop 4 - Intel® Core™ i5, 512 GB, Sandstone"
"MICROSOFT 14.4"" Surface Laptop Studio - Intel® Core™ i7, 2 TB SSD, Platinum"
"HP Spectre x360 13.3"" 2 in 1 Laptop - Intel® Core™ i7, 512 GB SSD, Black"
"ASUS E510MA 15.6"" Laptop - Intel® Celeron®, 64 GB eMMC, Black"
"MICROSOFT 13"" Surface Pro 8 - Intel® Core™ i7, 256 GB SSD, Platinum"
"SAMSUNG Galaxy Book2 360 13.3"" 2 in 1 Laptop - Intel® Core™ i5, 256 GB SSD, Silver"
"SAMSUNG Galaxy Book2 15.6"" Laptop - Intel® Core™ i7, 512 GB SSD, Silver"
"SAMSUNG Galaxy Book2 Pro 360 13.3"" 2 in 1 Laptop - Intel® Core™ i7, 512 GB SSD, Silver"
"LENOVO Yoga 6 13.3"" 2 in 1 Laptop - AMD Ryzen 7, 512 GB SSD, Abyss Blue"
"HP Spectre x360 13-aw2501na 13.3"" 2 in 1 Laptop - Intel® Core™ i7, 1 TB SSD, Silver"
"HP Stream 14s-dq0505sa 14"" Laptop - Intel® Celeron®, 64 GB eMMC, Blue"
"ACER Spin 713 13.5"" 2 in 1 Chromebook - Intel® Core™ i3, 256 GB SSD, Grey"
"SAMSUNG Galaxy Book2 360 13.3"" 2 in 1 Laptop - Intel® Core™ i7, 512 GB SSD, Silver"
"LENOVO Yoga 7 14"" 2 in 1 Laptop - AMD Ryzen 7, 512 GB SSD, Grey"
"ACER Spin 3 13.3"" 2 in 1 Laptop - Intel® Core™ i5, 512 GB SSD, Silver"
"DELL XPS 15 9510 15.6"" Laptop - Intel® Core™ i9, 1 TB SSD, Silver"
"ACER Swift 3 13.5"" Laptop - Intel® Core™ i5, 512 GB SSD, Silver"
"ACER Spin 513 LTE 13.3"" 2 in 1 Chromebook - Qualcomm SC7180, 128 GB eMMC, Blue"
"ASUS VivoBook F415 14"" Laptop - Intel® Pentium® Gold, 128 GB SSD, Silver"
"HP Stream 11-ak0516sa 11"" Laptop - Intel® Celeron™, 64 GB eMMC, Blue"
"ASUS ZenBook 13 UX325EA 13.3"" Laptop - Intel® Core™ i5, 512 GB SSD, Grey"
"ACER Spin 513 13.3"" 2 in 1 Chromebook - Qualcomm SC7180, 64 GB eMMC, Silver"
"MICROSOFT 8.3"" Surface Duo 2 - 128 GB UFS, Obsidian"
"HP x360 14b-cb0502sa 14"" 2 in 1 Chromebook - Intel® Pentium® Silver, 128 GB eMMC, Silver"
"HP Pavilion Aero 13-be0506sa 13.3"" Laptop - AMD Ryzen 7, 512 GB SSD, Silver"
"LENOVO Yoga 6 13.3"" 2 in 1 Laptop - AMD Ryzen 7, 512 GB SSD, Abyss Blue"
"LENOVO IdeaPad 3i 14"" Laptop - Intel® Pentium® Gold, 128 GB SSD, Blue"
"VENTURER Europa 14 Plus 14"" Laptop - Intel® Celeron™, 64 GB SSD, Black"
"ACER 515 15.6"" Chromebook & Mouse Bundle - Intel® Core™ i3, 128 GB SSD, Grey"
"DYNABOOK Toshiba Satellite Pro C40 14"" Laptop - Intel® Core™ i5, 256 GB SSD, Dark Blue"
"MICROSOFT 15"" Surface Laptop 4 - Intel® Core™ i7, 1 TB SSD, Matte Black"
"SAMSUNG Galaxy Book2 Pro 15.6"" Laptop - Intel® Core™ i5, 256 GB SSD, Dark Grey"
"SAMSUNG Galaxy Book Pro 360 5G 13.3"" 2 in 1 Laptop - Intel® Core™ i5, 256 GB SSD, Mystic Silver"
"HP Stream 14s-dq0506sa 14"" Laptop - Intel® Celeron®, 64 GB eMMC, White"
"LENOVO IdeaPad 3i 14"" Laptop - Intel® Core™ i5, 256 GB SSD, Blue"
"HP x2 11-da0502na 11"" 2 in 1 Chromebook - Qualcomm Snapdragon, 64 GB eMMC, Silver"
"VENTURER Europa Plus 11"" Laptop - Intel® Celeron™, 64 GB SSD, Black"
"DELL XPS 15 9510 15.6"" Laptop - Intel® Core™ i7, 1 TB SSD, Silver"
"HP ENVY 13-ba1561sa 13.3"" Laptop - Intel® Core™ i5, 512 GB SSD, Silver"
"ACER Aspire 3 15.6"" Laptop - Intel® Pentium® Silver, 128 GB SSD, Silver"
"ACER Swift 3 14"" Laptop - Intel® Core™ i5, 1 TB SSD, Silver"
"MICROSOFT 14.4"" Surface Laptop Studio - Intel® Core™ i5, 256 GB SSD, Platinum"
"LENOVO IdeaPad Flex 3 11.6"" 2 in 1 Chromebook - MediaTek MT8183, 64 GB eMMC, Grey"
"SAMSUNG Galaxy Book2 15.6"" Laptop - Intel® Core™ i5, 512 GB SSD, Silver"
"SAMSUNG Galaxy Book2 15.6"" Laptop - Intel® Core™ i3, 256 GB SSD, Silver"
"ASUS Zenbook S Flip UX371EA 13.3"" 2 in 1 Laptop - Intel® Core™ i7, 1 TB SSD, Black"
"ASUS CX17 17.3"" Chromebook - Intel® Pentium®, 128 GB eMMC, Silver"
"SAMSUNG Galaxy Book2 Pro 360 15.6"" 2 in 1 Laptop - Intel® Core™ i5, 256 GB SSD, Silver"
"SAMSUNG Galaxy Book2 Pro 13.3"" Laptop - Intel® Core™ i5, 256 GB SSD, Silver"
"HUAWEI MateBook 16"" Laptop - AMD Ryzen 7, 512 GB SSD, Grey"
"ACER Swift 1 14"" Laptop - Intel® Pentium™, 128 GB SSD, Silver"
"ACER Spin 1 14"" 2 in 1 Laptop - Intel® Pentium® Silver, 128 GB SSD, Silver"
"LENOVO IdeaPad 3i 15.6"" Laptop - Intel® Celeron®, 128 GB SSD, Blue"
"ACER 317 17.3"" Chromebook - Intel® Celeron®, 64 GB eMMC, Silver"
